ImageId;YRelW;XRelH;utility
60;0.550725;0.686081;1.000000
60;0.768116;0.724908;1.000000
60;0.443478;0.779853;0.599960
61;0.846377;0.238462;1.000000
61;0.217391;0.686081;1.000000
61;0.431159;0.726007;1.000000
61;0.107971;0.771795;0.599960
62;0.622464;0.231136;1.000000
62;0.871739;0.357875;1.000000
62;0.107246;0.724542;1.000000
62;0.805797;0.646154;1.000000
63;0.294928;0.232601;1.000000
63;0.546377;0.358608;1.000000
63;0.856522;0.658242;1.000000
63;0.920290;0.196703;0.993499
63;0.549275;0.358974;0.699970
63;0.473188;0.645055;1.000000
64;0.105072;0.226007;0.990599
64;0.213768;0.358242;1.000000
64;0.526087;0.657875;1.000000
64;0.807246;0.210623;0.899990
64;0.726087;0.202930;0.699970
64;0.216667;0.358608;0.599960
64;0.150000;0.646154;1.000000
65;0.040580;0.264835;0.628063
65;0.862319;0.315385;1.000000
65;0.192754;0.657875;1.000000
65;0.471014;0.210256;0.899990
65;0.386232;0.205128;0.599960
65;0.056522;0.617582;0.643564
65;0.719565;0.395604;0.873387
66;0.527536;0.315385;1.000000
66;0.123913;0.210623;1.000000
66;0.938406;0.675458;0.998800
66;0.386957;0.395971;0.874587
67;0.195652;0.315385;1.000000
67;0.776812;0.685348;1.000000
67;0.063768;0.395604;0.962796
68;0.878986;0.726740;1.000000
68;0.449275;0.681319;1.000000
69;0.855797;0.589744;0.946795
69;0.568841;0.727473;1.000000
69;0.171014;0.682418;1.000000
69;0.814493;0.720879;1.000000
70;0.521739;0.589744;0.944994
70;0.236957;0.728205;1.000000
70;0.918116;0.439560;0.984198
70;0.497101;0.721245;1.000000
71;0.189130;0.589744;0.944594
71;0.882609;0.242491;0.943794
71;0.028261;0.664469;0.715472
71;0.620290;0.438095;1.000000
71;0.181159;0.724908;1.000000
72;0.552174;0.243590;0.943294
72;0.286957;0.437729;1.000000
72;0.902174;0.747985;0.699970
73;0.217391;0.243223;0.943594
73;0.939130;0.278755;0.828283
73;0.034058;0.435531;0.837984
73;0.800725;0.705861;1.000000
73;0.571739;0.747253;0.699970
73;0.076087;0.697802;0.750875
74;0.684058;0.294139;1.000000
74;0.467391;0.704396;1.000000
74;0.238406;0.746520;0.699970
74;0.973913;0.688278;0.627763
75;0.860870;0.326740;1.000000
75;0.350725;0.294139;1.000000
75;0.145652;0.706227;1.000000
75;0.810870;0.686813;1.000000
75;0.922464;0.323443;0.735774
76;0.528261;0.326740;1.000000
76;0.079710;0.297070;0.959996
76;0.474638;0.684615;1.000000
76;0.624638;0.324176;0.743274
77;0.192754;0.326374;1.000000
77;0.163043;0.685714;1.000000
77;0.287681;0.324542;0.745575
78;0.899275;0.705128;1.000000
79;0.715217;0.800366;0.944894
79;0.833333;0.308059;1.000000
79;0.942029;0.231136;0.941594
79;0.863043;0.647619;0.799980
79;0.946377;0.592308;0.765777
79;0.847826;0.777656;1.000000
79;0.568841;0.703297;0.799980
80;0.379710;0.801465;0.943994
80;0.511594;0.308059;1.000000
80;0.672464;0.238095;1.000000
80;0.640580;0.589744;0.899990
80;0.527536;0.648718;0.699970
80;0.514493;0.777656;1.000000
80;0.236232;0.705861;0.799980
81;0.053623;0.800366;0.839084
81;0.179710;0.308791;1.000000
81;0.340580;0.238095;1.000000
81;0.307971;0.588645;0.899990
81;0.194928;0.649084;0.599960
81;0.182609;0.777656;1.000000
81;0.059420;0.674359;0.599960
82;0.014493;0.394505;0.808181
82;0.065217;0.237363;0.959696
82;0.878261;0.704029;1.000000
83;0.695652;0.430037;0.944994
83;0.544928;0.704396;1.000000
84;0.360870;0.429304;0.946395
84;0.765942;0.731868;0.987499
84;0.211594;0.704029;1.000000
85;0.044928;0.430403;0.935294
85;0.814493;0.664103;1.000000
85;0.432609;0.731868;0.985899
86;0.486957;0.664103;1.000000
86;0.100725;0.731868;0.985399
86;0.728986;0.751282;1.000000
87;0.168841;0.664103;1.000000
87;0.777536;0.770330;1.000000
87;0.395652;0.751648;1.000000
87;0.861594;0.412821;1.000000
88;0.444203;0.770330;1.000000
88;0.618116;0.415018;1.000000
88;0.106522;0.736630;1.000000
89;0.114493;0.770330;1.000000
89;0.285507;0.415018;1.000000
90;0.086232;0.419048;1.000000
91;0.755072;0.651648;1.000000
92;0.423188;0.650916;1.000000
92;0.863768;0.702198;1.000000
92;0.961594;0.452381;0.818782
93;0.102174;0.650916;1.000000
93;0.692029;0.443223;0.982198
93;0.529710;0.701832;1.000000
94;0.936232;0.412088;0.980798
94;0.361594;0.443590;0.984398
94;0.194203;0.701465;1.000000
95;0.660145;0.412454;1.000000
95;0.064493;0.442125;0.956796
95;0.918841;0.221612;0.958896
96;0.326087;0.412088;1.000000
96;0.886957;0.739194;1.000000
96;0.615217;0.221978;0.983298
97;0.807971;0.723077;1.000000
97;0.057246;0.424176;0.962096
97;0.896377;0.767399;1.000000
97;0.561594;0.739927;1.000000
97;0.281884;0.221612;0.981098
97;0.951449;0.654212;0.535554
98;0.478261;0.723810;1.000000
98;0.614493;0.765568;1.000000
98;0.224638;0.742125;1.000000
99;0.795652;0.299634;1.000000
99;0.147101;0.726007;1.000000
99;0.280435;0.765201;1.000000
100;0.461594;0.300000;1.000000
100;0.053623;0.762271;0.955596
101;0.921014;0.671429;0.997800
101;0.130435;0.300000;1.000000
102;0.624638;0.674359;1.000000
102;0.046377;0.420513;0.554955
102;0.828986;0.624542;0.859886
103;0.294928;0.676557;1.000000
103;0.948551;0.353480;0.944294
103;0.496377;0.623810;0.761476
104;0.037681;0.684249;0.748475
104;0.768841;0.346886;1.000000
104;0.162319;0.623077;0.863086
104;0.969565;0.743590;0.517952
105;0.423913;0.346154;1.000000
105;0.728986;0.735897;0.699970
106;0.144203;0.346154;1.000000
106;0.844928;0.739194;1.000000
106;0.034783;0.742491;0.830583
106;0.395652;0.736264;0.699970
107;0.534058;0.738462;1.000000
107;0.089855;0.739194;0.682468
108;0.201449;0.738095;1.000000
108;0.919565;0.658974;0.975698
109;0.857246;0.663736;1.000000
109;0.021014;0.746886;0.916892
109;0.615942;0.660806;1.000000
110;0.561594;0.663736;1.000000
110;0.969565;0.352747;0.521452
110;0.282609;0.660440;1.000000
111;0.227536;0.663736;1.000000
111;0.729710;0.387912;1.000000
111;0.030435;0.661905;0.927493
112;0.036957;0.647619;0.939294
112;0.397101;0.388645;1.000000
112;0.917391;0.284615;0.975998
112;0.924638;0.797070;1.000000
113;0.842029;0.777656;0.978398
113;0.625362;0.797436;1.000000
113;0.092029;0.387912;1.000000
113;0.686957;0.292674;1.000000
114;0.508696;0.777289;0.977898
114;0.982609;0.765201;0.712071
114;0.295652;0.797070;1.000000
114;0.345652;0.292308;1.000000
115;0.176087;0.778022;0.978498
115;0.101449;0.295971;1.000000
117;0.839855;0.692308;1.000000
118;0.868841;0.242125;1.000000
118;0.569565;0.693407;1.000000
119;0.634783;0.244322;1.000000
119;0.236957;0.693407;1.000000
120;0.300725;0.243956;1.000000
120;0.060145;0.699267;0.953795
121;0.096377;0.245421;1.000000
121;0.905797;0.720879;1.000000
121;0.690580;0.300733;0.699970
122;0.641304;0.721245;1.000000
122;0.358696;0.300733;0.599960
123;0.309420;0.721245;1.000000
123;0.159420;0.298535;0.899990
124;0.071739;0.727106;1.000000
128;0.967391;0.405861;0.923092
131;0.896377;0.386447;1.000000
132;0.651449;0.386447;1.000000
133;0.319565;0.386081;1.000000
133;0.942754;0.192674;0.968297
134;0.092029;0.383883;1.000000
134;0.788406;0.629304;1.000000
134;0.778986;0.227106;1.000000
135;0.455797;0.629670;1.000000
135;0.455072;0.227473;1.000000
136;0.150000;0.630403;1.000000
136;0.185507;0.230037;1.000000
136;0.975362;0.294872;0.912191
137;0.766667;0.311355;1.000000
137;0.918841;0.616850;0.583458
138;0.436957;0.310623;1.000000
139;0.126087;0.310623;1.000000
142;0.758696;0.347985;1.000000
142;0.847826;0.532967;1.000000
143;0.426087;0.347619;1.000000
143;0.527536;0.532967;1.000000
143;0.980435;0.401832;0.611161
143;0.911594;0.712454;0.944094
144;0.094203;0.347253;1.000000
144;0.194203;0.532601;1.000000
144;0.771739;0.338095;1.000000
144;0.929710;0.657143;1.000000
144;0.578986;0.713187;0.943694
145;0.013768;0.524176;0.907291
145;0.443478;0.336630;1.000000
145;0.670290;0.659341;1.000000
145;0.247101;0.713553;0.845085
146;0.134058;0.339194;1.000000
146;0.339855;0.660073;1.000000
147;0.072464;0.660073;1.000000
149;0.986957;0.436630;0.604760
149;0.842029;0.247985;1.000000
150;0.715217;0.443223;0.949495
150;0.538406;0.249084;1.000000
151;0.381884;0.443223;0.949495
151;0.205072;0.249084;1.000000
151;0.870290;0.277289;0.699970
152;0.060870;0.443223;0.941294
152;0.030435;0.257875;0.931193
152;0.856522;0.731868;1.000000
153;0.523913;0.731136;1.000000
154;0.189130;0.730403;1.000000
154;0.054348;0.267399;0.586959
157;0.800725;0.631136;1.000000
