time;utilityPicked;utilityLost;picks_por_minuto;totalPicks
16-03-2021 13:24:43;0;0;0.0;0
16-03-2021 13:24:51;0;0;0.0;0
16-03-2021 13:24:57;0;0;0.0;0
16-03-2021 13:25:02;2.0;0;14.10105757931847;2
16-03-2021 13:25:09;7.0;4.733973000000001;41.1361410381978;7
16-03-2021 13:25:14;10.0;16.678067;49.751243781094374;10
16-03-2021 13:25:19;11.0;24.599959;47.44787922357994;11
16-03-2021 13:25:24;15.0;29.441042999999997;60.36217303822906;15
16-03-2021 13:25:30;17.0;35.297329;61.04129263913786;17
16-03-2021 13:25:35;20.0;48.597858;63.79585326953703;20
16-03-2021 13:25:40;21.986899;55.261024;66.13226452905762;22
16-03-2021 13:25:45;23.959396;65.182817;66.32888070013766;24
16-03-2021 13:25:50;26.959396;70.341832;70.25151777970453;27
16-03-2021 13:25:56;30.959396;76.92148999999999;74.96977025392921;31
16-03-2021 13:26:02;32.959396;83.76547399999998;74.9716016660349;33
16-03-2021 13:26:08;35.959396;92.50404799999998;76.43312101910756;36
16-03-2021 13:26:13;38.959396;101.78367599999997;78.10413885180165;39
16-03-2021 13:26:20;41.959396;111.67286399999996;78.97210905672124;42
16-03-2021 13:26:25;45.959396;119.30602799999998;81.99643493761087;46
16-03-2021 13:26:36;50.959396;136.539352;82.90436196152795;51
16-03-2021 13:26:52;59.959396;157.39663900000005;85.28784648187685;60
16-03-2021 13:27:07;67.959396;186.54565400000004;85.51666317333995;68
16-03-2021 13:27:22;73.959396;210.52515100000014;85.28620822128448;74
16-03-2021 13:27:38;81.959396;228.75127500000016;87.2185782662665;82
16-03-2021 13:27:55;89.941694;256.7437740000002;86.80276482880761;90
16-03-2021 13:28:12;97.941694;274.7978780000002;87.68267223382264;98
16-03-2021 13:28:29;104.941694;298.39163700000023;87.6095118898647;105
16-03-2021 13:28:44;111.941694;320.7706740000004;88.17740454008914;112
16-03-2021 13:29:00;118.941694;340.8029770000004;88.51971237292607;119
16-03-2021 13:29:16;124.941694;363.7060670000004;87.7090398783796;125
16-03-2021 13:29:33;134.94169399999998;385.7372700000004;89.49287371561451;135
16-03-2021 13:29:50;139.92859299999998;408.4801430000004;88.31878877089989;140
16-03-2021 13:30:06;148.90108999999998;427.36143100000044;89.9758454106312;149
16-03-2021 13:30:24;159.90108999999998;460.2664200000005;90.98663633779123;160
16-03-2021 13:30:41;169.90108999999998;486.97929300000055;91.51265027813014;170
16-03-2021 13:30:58;179.90108999999998;512.6005570000007;92.10301893229078;180
16-03-2021 13:31:17;186.90108999999998;540.9742930000009;91.43509086464381;187
16-03-2021 13:31:32;193.90108999999998;560.656361000001;91.53821956590488;194
16-03-2021 13:31:52;202.90108999999998;593.446141000001;91.1267394882564;203
16-03-2021 13:32:08;212.90108999999998;612.7971760000012;92.16789268715021;213
16-03-2021 13:32:24;218.90108999999998;632.7167660000011;91.94597998740578;219
16-03-2021 13:32:41;226.90108999999998;653.1454090000012;92.58378084426668;227
16-03-2021 13:32:56;232.90108999999998;675.7328670000011;92.3931002577489;233
16-03-2021 13:33:12;239.90108999999998;696.8621800000013;92.1246241443278;240
16-03-2021 13:33:29;248.90108999999998;720.1659090000014;92.7029039463873;249
16-03-2021 13:33:46;256.90108999999995;742.7832700000017;92.49595105272427;257
16-03-2021 13:34:03;261.8604859999999;766.514044000002;91.97823415832644;262
16-03-2021 13:34:20;273.8604859999999;791.3662280000021;93.00746775288214;274
16-03-2021 13:34:38;282.8604859999999;816.4305340000022;93.60013229700316;283
16-03-2021 13:34:54;290.8604859999999;840.5018430000022;93.63938646358058;291
16-03-2021 13:35:12;301.8604859999999;868.1125050000022;94.02729489906646;302
16-03-2021 13:35:28;306.8604859999999;889.3965320000025;93.42665855142529;307
